,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,B,Bosnia y Herzegovina,4,3,1,1,1,2,3,-1,3B,3B,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2B,Suiza
NombreEquipo,B,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,B,6/12/2026,21:00,J1,Canadá,,2,0,,Bosnia y Herzegovina,1,3,,Grupo B,,,,,,,,,,,,,,,,,,,B,Catar,0,3,0,0,3,0,6,-6,4B,4B,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3B,Bosnia y Herzegovina
Canadá,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/13/2026,21:00,J1,Catar,,0,2,,Suiza,1,8,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,B,Suiza,5,3,1,2,0,5,3,2,2B,2B,0,1,P.1 (4),5,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4B,Catar
Bosnia y Herzegovina,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/18/2026,21:00,J2,Suiza,,1,1,,Bosnia y Herzegovina,1,26,1B,1,,Canadá,7,3,2,1,0,7,2,5,1,Canadá,,,Canadá,,,,C,Brasil,6,3,2,0,1,10,3,7,2C,2C,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1C,Marruecos
Catar,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/19/2026,0:00,J2,Canadá,,3,0,,Catar,1,27,2B,2,,Suiza,5,3,1,2,0,5,3,2,1,Suiza,,,Bosnia y Herzegovina,,,,C,Marruecos,9,3,3,0,0,7,2,5,1C,1C,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,2,12,1,2.1,2,,2C,Brasil
Suiza,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/24/2026,21:00,J3,Suiza,,2,2,,Canadá,1,51,3B,3,,Bosnia y Herzegovina,4,3,1,1,1,2,3,-1,1,Bosnia y Herzegovina,,,Catar,,,,C,Haití,0,3,0,0,3,0,9,-9,4C,4C,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3C,Escocia
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/24/2026,21:00,J3,Bosnia y Herzegovina,,1,0,,Catar,1,52,4B,4,,Catar,0,3,0,0,3,0,6,-6,1,Catar,,,Suiza,,,,C,Escocia,3,3,1,0,2,5,8,-3,3C,3C,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4C,Haití
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Estados Unidos,9,3,3,0,0,8,1,7,1D,1D,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1D,Estados Unidos
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,D,Paraguay,6,3,2,0,1,4,4,0,2D,2D,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2D,Paraguay
NombreEquipo,C,4,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,C,6/14/2026,0:00,J1,Brasil,,1,2,,Marruecos,1,7,,Grupo C,,,,,,,,,,,,,,,,,,,D,Australia,1,3,0,1,2,2,5,-3,3D,3D,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-3,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3D,Australia
Brasil,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/14/2026,3:00,J1,Haití,,0,3,,Escocia,1,5,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,D,Turquía,1,3,0,1,2,3,7,-4,4D,4D,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-4,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4D,Turquía
Marruecos,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,0:00,J2,Escocia,,1,4,,Marruecos,1,30,1C,1,,Marruecos,9,3,3,0,0,7,2,5,1,Marruecos,,,Brasil,,,,E,Alemania,7,3,2,1,0,9,3,6,1E,1E,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1E,Alemania
Haití,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,2:30,J2,Brasil,,5,0,,Haití,1,29,2C,2,,Brasil,6,3,2,0,1,10,3,7,1,Brasil,,,Marruecos,,,,E,Curazao,0,3,0,0,3,1,10,-9,4E,4E,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2E,Ecuador
Escocia,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,0:00,J3,Escocia,,1,4,,Brasil,1,49,3C,3,,Escocia,3,3,1,0,2,5,8,-3,1,Escocia,,,Haití,,,,E,Costa de Marfil,4,3,1,1,1,8,6,2,3E,3E,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3E,Costa de Marfil
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,0:00,J3,Marruecos,,1,0,,Haití,1,50,4C,4,,Haití,0,3,0,0,3,0,9,-9,1,Haití,,,Escocia,,,,E,Ecuador,6,3,2,0,1,6,5,1,2E,2E,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4E,Curazao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Países Bajos,9,3,3,0,0,8,2,6,1F,1F,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1F,Países Bajos
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,F,Japón,4,3,1,1,1,5,6,-1,2F,2F,0,1,P.1 (4),4,2,P.2 (2),0,1,0,1,2,P.2 (2),2,2,0,2,P.2 (2),2,2,P.2 (2),0,1,0,1,2,P.2 (2),2,2,0,2,P.2 (2),2,2,P.2 (2),-1,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2F,Japón
NombreEquipo,D,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,D,6/13/2026,3:00,J1,Estados Unidos,,2,0,,Paraguay,1,4,,Grupo D,,,,,,,,,,,,,,,,,,,F,Suecia,4,3,1,1,1,4,6,-2,3F,3F,0,1,P.1 (4),4,2,P.2 (2),0,1,0,1,2,P.2 (2),2,2,0,2,P.2 (2),2,2,P.2 (2),0,1,0,1,2,P.2 (2),2,2,0,2,P.2 (2),2,2,P.2 (2),-2,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3F,Suecia
Estados Unidos,,,Empate,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,,6/14/2026,6:00,J1,Australia,,1,1,,Turquía,1,6,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,F,Túnez,0,3,0,0,3,3,6,-3,4F,4F,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4F,Túnez
Paraguay,,,Local,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,,6/19/2026,21:00,J2,Estados Unidos,,2,0,,Australia,1,32,1D,1,,Estados Unidos,9,3,3,0,0,8,1,7,1,Estados Unidos,,,Estados Unidos,,,,G,Bélgica,7,3,2,1,0,9,3,6,1G,1G,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),6,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1G,Bélgica
Australia,,,Visitante,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,,6/20/2026,5:00,J2,Turquía,,1,2,,Paraguay,1,31,2D,2,,Paraguay,6,3,2,0,1,4,4,0,1,Paraguay,,,Paraguay,,,,G,Egipto,7,3,2,1,0,7,3,4,2G,2G,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),4,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2G,Egipto
Turquía,,,Visitante,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,,6/26/2026,4:00,J3,Turquía,,1,4,,Estados Unidos,1,59,3D,3,,Australia,1,3,0,1,2,2,5,-3,1,Australia,,,Australia,,,,G,Irán,0,3,0,0,3,1,7,-6,4G,4G,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3G,Nueva Zelanda
,,,Local,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,,6/26/2026,4:00,J3,Paraguay,,2,1,,Australia,1,60,4D,4,,Turquía,1,3,0,1,2,3,7,-4,1,Turquía,,,Turquía,,,,G,Nueva Zelanda,3,3,1,0,2,4,8,-4,3G,3G,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4G,Irán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,España,9,3,3,0,0,8,1,7,1H,1H,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1H,España
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,H,Cabo Verde,0,3,0,0,3,2,9,-7,4H,4H,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2H,Uruguay
NombreEquipo,E,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,E,6/14/2026,19:00,J1,Alemania,,4,0,,Curazao,1,10,,Grupo E,,,,,,,,,,,,,,,,,,,H,Arabia Saudita,3,3,1,0,2,4,8,-4,3H,3H,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3H,Arabia Saudita
Alemania,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/15/2026,1:00,J1,Costa de Marfil,,2,3,,Ecuador,1,9,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,H,Uruguay,6,3,2,0,1,5,1,4,2H,2H,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4H,Cabo Verde
Curazao,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,22:00,J2,Alemania,,2,2,,Costa de Marfil,1,33,1E,1,,Alemania,7,3,2,1,0,9,3,6,1,Alemania,,,Alemania,,,,I,Francia,9,3,3,0,0,8,1,7,1I,1I,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1I,Francia
Costa de Marfil,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/21/2026,2:00,J2,Ecuador,,2,0,,Curazao,1,34,2E,2,,Ecuador,6,3,2,0,1,6,5,1,1,Ecuador,,,Curazao,,,,I,Senegal,6,3,2,0,1,8,4,4,2I,2I,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2I,Senegal
Ecuador,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,22:00,J3,Curazao,,1,4,,Costa de Marfil,1,55,3E,3,,Costa de Marfil,4,3,1,1,1,8,6,2,1,Costa de Marfil,,,Costa de Marfil,,,,I,Irak,0,3,0,0,3,1,10,-9,4I,4I,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3I,Noruega
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,22:00,J3,Ecuador,,1,3,,Alemania,1,56,4E,4,,Curazao,0,3,0,0,3,1,10,-9,1,Curazao,,,Ecuador,,,,I,Noruega,3,3,1,0,2,3,5,-2,3I,3I,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4I,Irak
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,Argentina,9,3,3,0,0,8,2,6,1J,1J,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1J,Argentina
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,J,Argelia,3,3,1,0,2,3,5,-2,3J,3J,0,1,P.1 (4),3,2,P.2 (3),1,0,1,3,2,P.2 (3),2,2,0,2,P.2 (3),2,2,P.2 (2),0,0,1,0,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2J,Jordania
NombreEquipo,F,4,Local,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,F,6/14/2026,22:00,J1,Países Bajos,,3,1,,Japón,1,11,,Grupo F,,,,,,,,,,,,,,,,,,,J,Austria,3,3,1,0,2,1,3,-2,4J,4J,0,1,P.1 (4),3,2,P.2 (3),1,0,1,3,2,P.2 (3),1,1,0,2,P.2 (3),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3J,Argelia
Países Bajos,,,Local,P.2 (2),-,,P.2 (2),-,,P.2 (2),-,,P.2 (2),-,,P.2 (2),-,,P.2 (2),-,,,6/15/2026,4:00,J1,Suecia,,2,1,,Túnez,1,12,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,J,Jordania,3,3,1,0,2,3,5,-2,2J,2J,0,1,P.1 (4),3,2,P.2 (3),1,0,1,3,2,P.2 (3),2,2,0,2,P.2 (3),2,2,P.2 (2),1,0,0,3,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4J,Austria
Japón,,,Local,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,,6/20/2026,19:00,J2,Países Bajos,,3,0,,Suecia,1,35,1F,1,,Países Bajos,9,3,3,0,0,8,2,6,1,Países Bajos,,,Países Bajos,,,,K,Portugal,9,3,3,0,0,8,2,6,1K,1K,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1K,Portugal
Suecia,,,Visitante,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,-,P.2 (2),,,6/21/2026,6:00,J2,Túnez,,1,2,,Japón,1,36,2F,2,,Japón,4,3,1,1,1,5,6,-1,1,Japón,,,Japón,,,,K,RD Congo,3,3,1,0,2,2,6,-4,3K,3K,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2K,Colombia
Túnez,,,Empate,P.2 (2),P.2 (2),,P.2 (2),P.2 (2),,P.2 (2),P.2 (2),,P.2 (2),P.2 (2),,P.2 (2),P.2 (2),,P.2 (2),P.2 (2),,,6/26/2026,1:00,J3,Japón,,2,2,,Suecia,1,57,3F,3,,Suecia,4,3,1,1,1,4,6,-2,1,Suecia,,,Suecia,,,,K,Uzbekistán,0,3,0,0,3,0,5,-5,4K,4K,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3K,RD Congo
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/26/2026,1:00,J3,Túnez,,1,2,,Países Bajos,1,58,4F,4,,Túnez,0,3,0,0,3,3,6,-3,1,Túnez,,,Túnez,,,,K,Colombia,6,3,2,0,1,7,4,3,2K,2K,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4K,Uzbekistán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Inglaterra,9,3,3,0,0,7,2,5,1L,1L,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1L,Inglaterra
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,L,Croacia,6,3,2,0,1,8,3,5,2L,2L,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2L,Croacia
NombreEquipo,G,4,Empate,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,G,6/15/2026,21:00,J1,Bélgica,,2,2,,Egipto,1,16,,Grupo G,,,,,,,,,,,,,,,,,,,L,Ghana,3,3,1,0,2,2,7,-5,3L,3L,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3L,Ghana
