,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,B,Bosnia y Herzegovina,7,3,2,1,0,7,3,4,1B,1B,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,2,12,1,2.1,2,,2B,Catar
NombreEquipo,B,4,Visitante,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,B,6/12/2026,21:00,J1,Canadá,,1,3,,Bosnia y Herzegovina,1,3,,Grupo B,,,,,,,,,,,,¡EMPATE! Puedes seleccionar el orden de los empatados.,,,,,,,B,Catar,4,3,1,1,1,3,3,0,2B,2B,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,3,12,2,3.2,3,,3B,Canadá
Canadá,,,Local,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,,6/13/2026,21:00,J1,Catar,,2,0,,Suiza,1,8,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,2,,,,Selección,Puntos penalizados,,,B,Suiza,2,3,0,2,1,3,5,-2,4B,4B,0,1,P.1 (4),2,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-2,3,P.3 (2),3,3,P.3 (2),4,4,,4,3,4,,3,12,2,3.2,3,,4B,Suiza
Bosnia y Herzegovina,,,Empate,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,,6/18/2026,21:00,J2,Suiza,,2,2,,Bosnia y Herzegovina,1,26,1B,1,,Bosnia y Herzegovina,7,3,2,1,0,7,3,4,1,Bosnia y Herzegovina,,,Canadá,,,,C,Brasil,7,3,2,1,0,8,1,7,1C,1C,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),7,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1C,Brasil
Catar,,,Empate,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,,6/19/2026,0:00,J2,Canadá,,1,1,,Catar,1,27,2B,2,,Catar,4,3,1,1,1,3,3,0,1,Catar,,,Bosnia y Herzegovina,,,,C,Marruecos,7,3,2,1,0,7,2,5,2C,2C,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),5,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2C,Marruecos
Suiza,,,Empate,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,,6/24/2026,21:00,J3,Suiza,,1,1,,Canadá,1,51,3B,3,,Canadá,2,3,0,2,1,3,5,-2,2,Canadá,,,Catar,,,,C,Haití,1,3,0,1,2,1,6,-5,3C,3C,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),-5,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3C,Haití
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/24/2026,21:00,J3,Bosnia y Herzegovina,,2,0,,Catar,1,52,4B,4,,Suiza,2,3,0,2,1,3,5,-2,2,Suiza,,,Suiza,,,,C,Escocia,1,3,0,1,2,0,7,-7,4C,4C,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),-7,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4C,Escocia
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Estados Unidos,6,3,2,0,1,4,3,1,2D,2D,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1D,Turquía
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,D,Paraguay,4,3,1,1,1,5,6,-1,3D,3D,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2D,Estados Unidos
NombreEquipo,C,4,Empate,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,C,6/14/2026,0:00,J1,Brasil,,1,1,,Marruecos,1,7,,Grupo C,,,,,,,,,,,,,,,,,,,D,Australia,0,3,0,0,3,3,6,-3,4D,4D,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3D,Paraguay
Brasil,,,Empate,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,,6/14/2026,3:00,J1,Haití,,0,0,,Escocia,1,5,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,D,Turquía,7,3,2,1,0,7,4,3,1D,1D,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,4,12,1,4.1,4,,4D,Australia
Marruecos,,,Visitante,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,,6/20/2026,0:00,J2,Escocia,,0,3,,Marruecos,1,30,1C,1,,Brasil,7,3,2,1,0,8,1,7,1,Brasil,,,Brasil,,,,E,Alemania,9,3,3,0,0,8,1,7,1E,1E,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1E,Alemania
Haití,,,Local,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,,6/20/2026,2:30,J2,Brasil,,3,0,,Haití,1,29,2C,2,,Marruecos,7,3,2,1,0,7,2,5,1,Marruecos,,,Marruecos,,,,E,Curazao,1,3,0,1,2,2,6,-4,4E,4E,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2E,Ecuador
Escocia,,,Visitante,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,,6/25/2026,0:00,J3,Escocia,,0,4,,Brasil,1,49,3C,3,,Haití,1,3,0,1,2,1,6,-5,1,Haití,,,Haití,,,,E,Costa de Marfil,3,3,1,0,2,4,6,-2,3E,3E,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3E,Costa de Marfil
,,,Local,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,,6/25/2026,0:00,J3,Marruecos,,3,1,,Haití,1,50,4C,4,,Escocia,1,3,0,1,2,0,7,-7,1,Escocia,,,Escocia,,,,E,Ecuador,4,3,1,1,1,3,4,-1,2E,2E,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4E,Curazao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Países Bajos,9,3,3,0,0,7,1,6,1F,1F,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1F,Países Bajos
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,F,Japón,1,3,0,1,2,2,7,-5,4F,4F,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2F,Suecia
NombreEquipo,D,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,D,6/13/2026,3:00,J1,Estados Unidos,,2,0,,Paraguay,1,4,,Grupo D,,,,,,,,,,,,,,,,,,,F,Suecia,4,3,1,1,1,4,4,0,2F,2F,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,3,12,1,3.1,3,,3F,Túnez
Estados Unidos,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/14/2026,6:00,J1,Australia,,1,2,,Turquía,1,6,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,F,Túnez,2,3,0,2,1,3,4,-1,3F,3F,0,1,P.1 (4),2,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4F,Japón
Paraguay,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/19/2026,21:00,J2,Estados Unidos,,1,0,,Australia,1,32,1D,1,,Turquía,7,3,2,1,0,7,4,3,1,Turquía,,,Estados Unidos,,,,G,Bélgica,7,3,2,1,0,5,2,3,1G,1G,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1G,Bélgica
Australia,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,5:00,J2,Turquía,,2,2,,Paraguay,1,31,2D,2,,Estados Unidos,6,3,2,0,1,4,3,1,1,Estados Unidos,,,Paraguay,,,,G,Egipto,4,3,1,1,1,3,3,0,3G,3G,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2G,Nueva Zelanda
Turquía,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/26/2026,4:00,J3,Turquía,,3,1,,Estados Unidos,1,59,3D,3,,Paraguay,4,3,1,1,1,5,6,-1,1,Paraguay,,,Australia,,,,G,Irán,0,3,0,0,3,1,5,-4,4G,4G,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3G,Egipto
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/26/2026,4:00,J3,Paraguay,,3,2,,Australia,1,60,4D,4,,Australia,0,3,0,0,3,3,6,-3,1,Australia,,,Turquía,,,,G,Nueva Zelanda,5,3,1,2,0,3,2,1,2G,2G,0,1,P.1 (4),5,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4G,Irán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,España,9,3,3,0,0,8,1,7,1H,1H,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1H,España
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,H,Cabo Verde,1,3,0,1,2,1,5,-4,3H,3H,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-4,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2H,Uruguay
NombreEquipo,E,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,E,6/14/2026,19:00,J1,Alemania,,3,0,,Curazao,1,10,,Grupo E,,,,,,,,,,,,,,,,,,,H,Arabia Saudita,1,3,0,1,2,1,7,-6,4H,4H,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-6,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3H,Cabo Verde
Alemania,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/15/2026,1:00,J1,Costa de Marfil,,1,2,,Ecuador,1,9,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,H,Uruguay,6,3,2,0,1,6,3,3,2H,2H,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4H,Arabia Saudita
Curazao,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,22:00,J2,Alemania,,3,1,,Costa de Marfil,1,33,1E,1,,Alemania,9,3,3,0,0,8,1,7,1,Alemania,,,Alemania,,,,I,Francia,9,3,3,0,0,8,0,8,1I,1I,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1I,Francia
Costa de Marfil,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/21/2026,2:00,J2,Ecuador,,1,1,,Curazao,1,34,2E,2,,Ecuador,4,3,1,1,1,3,4,-1,1,Ecuador,,,Curazao,,,,I,Senegal,4,3,1,1,1,3,5,-2,2I,2I,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2I,Senegal
Ecuador,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,22:00,J3,Curazao,,1,2,,Costa de Marfil,1,55,3E,3,,Costa de Marfil,3,3,1,0,2,4,6,-2,1,Costa de Marfil,,,Costa de Marfil,,,,I,Irak,1,3,0,1,2,0,5,-5,4I,4I,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3I,Noruega
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/25/2026,22:00,J3,Ecuador,,0,2,,Alemania,1,56,4E,4,,Curazao,1,3,0,1,2,2,6,-4,1,Curazao,,,Ecuador,,,,I,Noruega,2,3,0,2,1,2,3,-1,3I,3I,0,1,P.1 (4),2,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4I,Irak
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,Argentina,9,3,3,0,0,7,0,7,1J,1J,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1J,Argentina
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,J,Argelia,2,3,0,2,1,2,5,-3,3J,3J,0,1,P.1 (4),2,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2J,Austria
NombreEquipo,F,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,F,6/14/2026,22:00,J1,Países Bajos,,3,0,,Japón,1,11,,Grupo F,,,,,,,,,,,,,,,,,,,J,Austria,4,3,1,1,1,4,4,0,2J,2J,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,3,12,1,3.1,3,,3J,Argelia
Países Bajos,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/15/2026,4:00,J1,Suecia,,1,1,,Túnez,1,12,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,J,Jordania,1,3,0,1,2,1,5,-4,4J,4J,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4J,Jordania
Japón,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/20/2026,19:00,J2,Países Bajos,,2,0,,Suecia,1,35,1F,1,,Países Bajos,9,3,3,0,0,7,1,6,1,Países Bajos,,,Países Bajos,,,,K,Portugal,9,3,3,0,0,7,1,6,1K,1K,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1K,Portugal
Suecia,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/21/2026,6:00,J2,Túnez,,1,1,,Japón,1,36,2F,2,,Suecia,4,3,1,1,1,4,4,0,1,Suecia,,,Japón,,,,K,RD Congo,2,3,0,2,1,2,4,-2,3K,3K,0,1,P.1 (4),2,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2K,Colombia
Túnez,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/26/2026,1:00,J3,Japón,,1,3,,Suecia,1,57,3F,3,,Túnez,2,3,0,2,1,3,4,-1,1,Túnez,,,Suecia,,,,K,Uzbekistán,1,3,0,1,2,1,5,-4,4K,4K,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3K,RD Congo
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,6/26/2026,1:00,J3,Túnez,,1,2,,Países Bajos,1,58,4F,4,,Japón,1,3,0,1,2,2,7,-5,1,Japón,,,Túnez,,,,K,Colombia,4,3,1,1,1,3,3,0,2K,2K,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4K,Uzbekistán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Inglaterra,7,3,2,1,0,6,2,4,1L,1L,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1L,Inglaterra
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,L,Croacia,5,3,1,2,0,5,3,2,2L,2L,0,1,P.1 (4),5,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2L,Croacia
