,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,B,Bosnia y Herzegovina,1,3,0,1,2,1,4,-3,3B,3B,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),-3,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2B,Canadá
NombreEquipo,B,4,Local,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,B,12/6/2026,21:00,J1,Canadá,#NAME?,2,0,#NAME?,Bosnia y Herzegovina,1,3,,Grupo B,,,,,,,,,,,,,,,,,,,B,Catar,1,3,0,1,2,1,5,-4,4B,4B,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),-4,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3B,Bosnia y Herzegovina
Canadá,,,Visitante,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,P.3 (2),P.1 (2),,,13/6/2026,21:00,J1,Catar,#NAME?,0,3,#NAME?,Suiza,1,8,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,B,Suiza,7,3,2,1,0,7,3,4,1B,1B,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),4,1,-,-,1,-,-,1,,1,-,1,,4,12,1,4.1,4,,4B,Catar
Bosnia y Herzegovina,,,Local,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,,18/6/2026,21:00,J2,Suiza,#NAME?,2,1,#NAME?,Bosnia y Herzegovina,1,26,1B,1,#NAME?,Suiza,7,3,2,1,0,7,3,4,1,Suiza,,,Canadá,,,,C,Brasil,9,3,3,0,0,11,4,7,1C,1C,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1C,Brasil
Catar,,,Local,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,P.1 (2),P.3 (2),,,19/6/2026,0:00,J2,Canadá,#NAME?,2,1,#NAME?,Catar,1,27,2B,2,#NAME?,Canadá,7,3,2,1,0,6,3,3,1,Canadá,,,Bosnia y Herzegovina,,,,C,Marruecos,6,3,2,0,1,8,3,5,2C,2C,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2C,Marruecos
Suiza,,,Empate,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,,24/6/2026,21:00,J3,Suiza,#NAME?,2,2,#NAME?,Canadá,1,51,3B,3,#NAME?,Bosnia y Herzegovina,1,3,0,1,2,1,4,-3,1,Bosnia y Herzegovina,,,Catar,,,,C,Haití,0,3,0,0,3,1,10,-9,4C,4C,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3C,Escocia
,,,Empate,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,,24/6/2026,21:00,J3,Bosnia y Herzegovina,#NAME?,0,0,#NAME?,Catar,1,52,4B,4,#NAME?,Catar,1,3,0,1,2,1,5,-4,1,Catar,,,Suiza,,,,C,Escocia,3,3,1,0,2,3,6,-3,3C,3C,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4C,Haití
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Estados Unidos,6,3,2,0,1,3,3,0,1D,1D,0,1,P.1 (4),6,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1D,Estados Unidos
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,D,Paraguay,4,3,1,1,1,5,5,0,2D,2D,0,1,P.1 (4),4,2,P.2 (2),1,0,0,3,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2D,Paraguay
NombreEquipo,C,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,C,14/6/2026,0:00,J1,Brasil,#NAME?,3,2,#NAME?,Marruecos,1,7,,Grupo C,,,,,,,,,,,,,,,,,,,D,Australia,2,3,0,2,1,3,4,-1,4D,4D,0,1,P.1 (4),2,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3D,Turquía
Brasil,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,14/6/2026,3:00,J1,Haití,#NAME?,0,2,#NAME?,Escocia,1,5,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,D,Turquía,4,3,1,1,1,4,3,1,3D,3D,0,1,P.1 (4),4,2,P.2 (2),0,0,1,0,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4D,Australia
Marruecos,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,0:00,J2,Escocia,#NAME?,0,3,#NAME?,Marruecos,1,30,1C,1,#NAME?,Brasil,9,3,3,0,0,11,4,7,1,Brasil,,,Brasil,,,,E,Alemania,9,3,3,0,0,12,0,12,1E,1E,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1E,Alemania
Haití,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,2:30,J2,Brasil,#NAME?,5,1,#NAME?,Haití,1,29,2C,2,#NAME?,Marruecos,6,3,2,0,1,8,3,5,1,Marruecos,,,Marruecos,,,,E,Curazao,0,3,0,0,3,1,10,-9,4E,4E,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2E,Ecuador
Escocia,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,0:00,J3,Escocia,#NAME?,1,3,#NAME?,Brasil,1,49,3C,3,#NAME?,Escocia,3,3,1,0,2,3,6,-3,1,Escocia,,,Haití,,,,E,Costa de Marfil,3,3,1,0,2,3,8,-5,3E,3E,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3E,Costa de Marfil
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,0:00,J3,Marruecos,#NAME?,3,0,#NAME?,Haití,1,50,4C,4,#NAME?,Haití,0,3,0,0,3,1,10,-9,1,Haití,,,Escocia,,,,E,Ecuador,6,3,2,0,1,6,4,2,2E,2E,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4E,Curazao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Países Bajos,7,3,2,1,0,9,4,5,1F,1F,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),5,1,P.1 (2),9,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1F,Países Bajos
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,F,Japón,7,3,2,1,0,7,2,5,2F,2F,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),0,1,0,1,1,P.1 (2),2,2,0,1,P.1 (2),2,1,P.1 (2),5,1,P.1 (2),7,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2F,Japón
NombreEquipo,D,4,Local,-,P.2 (2),,-,-,,-,-,,-,-,,-,-,,-,-,,D,13/6/2026,3:00,J1,Estados Unidos,#NAME?,2,1,#NAME?,Paraguay,1,4,,Grupo D,,,,,,,,,,,,,,,,,,,F,Suecia,3,3,1,0,2,3,5,-2,3F,3F,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3F,Suecia
Estados Unidos,,,Empate,-,P.2 (2),,-,-,,-,-,,-,-,,-,-,,-,-,,,14/6/2026,6:00,J1,Australia,#NAME?,1,1,#NAME?,Turquía,1,6,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,F,Túnez,0,3,0,0,3,1,9,-8,4F,4F,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4F,Túnez
Paraguay,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,19/6/2026,21:00,J2,Estados Unidos,#NAME?,1,0,#NAME?,Australia,1,32,1D,1,#NAME?,Estados Unidos,6,3,2,0,1,3,3,0,1,Estados Unidos,,,Estados Unidos,,,,G,Bélgica,9,3,3,0,0,7,1,6,1G,1G,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1G,Bélgica
Australia,,,Visitante,P.2 (2),P.2 (2),,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,5:00,J2,Turquía,#NAME?,1,2,#NAME?,Paraguay,1,31,2D,2,#NAME?,Paraguay,4,3,1,1,1,5,5,0,1,Paraguay,,,Paraguay,,,,G,Egipto,4,3,1,1,1,5,4,1,2G,2G,0,1,P.1 (4),4,2,P.2 (2),0,1,0,1,2,P.2 (2),1,1,0,2,P.2 (2),1,2,P.2 (2),0,1,0,1,2,P.2 (2),1,1,0,2,P.2 (2),1,2,P.2 (2),1,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2G,Egipto
Turquía,,,Local,P.2 (2),-,,-,-,,-,-,,-,-,,-,-,,-,-,,,26/6/2026,4:00,J3,Turquía,#NAME?,2,0,#NAME?,Estados Unidos,1,59,3D,3,#NAME?,Turquía,4,3,1,1,1,4,3,1,1,Turquía,,,Australia,,,,G,Irán,0,3,0,0,3,1,7,-6,4G,4G,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3G,Nueva Zelanda
,,,Empate,P.2 (2),-,,-,-,,-,-,,-,-,,-,-,,-,-,,,26/6/2026,4:00,J3,Paraguay,#NAME?,2,2,#NAME?,Australia,1,60,4D,4,#NAME?,Australia,2,3,0,2,1,3,4,-1,1,Australia,,,Turquía,,,,G,Nueva Zelanda,4,3,1,1,1,2,3,-1,3G,3G,0,1,P.1 (4),4,2,P.2 (2),0,1,0,1,2,P.2 (2),1,1,0,2,P.2 (2),1,2,P.2 (2),0,1,0,1,2,P.2 (2),1,1,0,2,P.2 (2),1,2,P.2 (2),-1,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4G,Irán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,España,9,3,3,0,0,10,1,9,1H,1H,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1H,España
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,H,Cabo Verde,1,3,0,1,2,2,8,-6,4H,4H,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-6,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2H,Uruguay
NombreEquipo,E,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,E,14/6/2026,19:00,J1,Alemania,#NAME?,5,0,#NAME?,Curazao,1,10,,Grupo E,,,,,,,,,,,,,,,,,,,H,Arabia Saudita,1,3,0,1,2,1,6,-5,3H,3H,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-5,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3H,Arabia Saudita
Alemania,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,15/6/2026,1:00,J1,Costa de Marfil,#NAME?,1,3,#NAME?,Ecuador,1,9,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,H,Uruguay,6,3,2,0,1,6,4,2,2H,2H,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4H,Cabo Verde
Curazao,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,22:00,J2,Alemania,#NAME?,4,0,#NAME?,Costa de Marfil,1,33,1E,1,#NAME?,Alemania,9,3,3,0,0,12,0,12,1,Alemania,,,Alemania,,,,I,Francia,9,3,3,0,0,11,1,10,1I,1I,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1I,Francia
Costa de Marfil,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,21/6/2026,2:00,J2,Ecuador,#NAME?,3,0,#NAME?,Curazao,1,34,2E,2,#NAME?,Ecuador,6,3,2,0,1,6,4,2,1,Ecuador,,,Curazao,,,,I,Senegal,1,3,0,1,2,2,8,-6,3I,3I,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-6,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2I,Noruega
Ecuador,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,22:00,J3,Curazao,#NAME?,1,2,#NAME?,Costa de Marfil,1,55,3E,3,#NAME?,Costa de Marfil,3,3,1,0,2,3,8,-5,1,Costa de Marfil,,,Costa de Marfil,,,,I,Irak,1,3,0,1,2,1,9,-8,4I,4I,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-8,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3I,Senegal
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,22:00,J3,Ecuador,#NAME?,0,3,#NAME?,Alemania,1,56,4E,4,#NAME?,Curazao,0,3,0,0,3,1,10,-9,1,Curazao,,,Ecuador,,,,I,Noruega,6,3,2,0,1,7,3,4,2I,2I,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4I,Irak
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,Argentina,9,3,3,0,0,8,0,8,1J,1J,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1J,Argentina
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,J,Argelia,3,3,1,0,2,2,5,-3,3J,3J,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2J,Austria
NombreEquipo,F,4,Empate,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,P.1 (2),P.1 (2),,F,14/6/2026,22:00,J1,Países Bajos,#NAME?,2,2,#NAME?,Japón,1,11,,Grupo F,,,,,,,,,,,,,,,,,,,J,Austria,6,3,2,0,1,4,4,0,2J,2J,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,3,12,1,3.1,3,,3J,Argelia
Países Bajos,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,15/6/2026,4:00,J1,Suecia,#NAME?,2,0,#NAME?,Túnez,1,12,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,J,Jordania,0,3,0,0,3,1,6,-5,4J,4J,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4J,Jordania
Japón,,,Local,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,,20/6/2026,19:00,J2,Países Bajos,#NAME?,3,1,#NAME?,Suecia,1,35,1F,1,#NAME?,Países Bajos,7,3,2,1,0,9,4,5,1,Países Bajos,,,Países Bajos,,,,K,Portugal,9,3,3,0,0,10,1,9,1K,1K,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1K,Portugal
Suecia,,,Visitante,-,P.1 (2),,-,P.1 (2),,-,P.1 (2),,-,P.1 (2),,-,P.1 (2),,-,P.1 (2),,,21/6/2026,6:00,J2,Túnez,#NAME?,0,3,#NAME?,Japón,1,36,2F,2,#NAME?,Japón,7,3,2,1,0,7,2,5,1,Japón,,,Japón,,,,K,RD Congo,3,3,1,0,2,2,5,-3,3K,3K,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2K,Colombia
Túnez,,,Local,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,P.1 (2),-,,,26/6/2026,1:00,J3,Japón,#NAME?,2,0,#NAME?,Suecia,1,57,3F,3,#NAME?,Suecia,3,3,1,0,2,3,5,-2,1,Suecia,,,Suecia,,,,K,Uzbekistán,0,3,0,0,3,0,7,-7,4K,4K,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3K,RD Congo
