,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,B,Bosnia y Herzegovina,6,3,2,0,1,5,4,1,2B,2B,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2B,Bosnia y Herzegovina
NombreEquipo,B,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,B,12/6/2026,21:00,J1,Canadá,,3,1,,Bosnia y Herzegovina,1,3,,Grupo B,,,,,,,,,,,,,,,,,,,B,Catar,0,3,0,0,3,2,7,-5,4B,4B,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3B,Suiza
Canadá,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,13/6/2026,21:00,J1,Catar,,1,2,,Suiza,1,8,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,B,Suiza,4,3,1,1,1,4,4,0,3B,3B,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4B,Catar
Bosnia y Herzegovina,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,18/6/2026,21:00,J2,Suiza,,0,1,,Bosnia y Herzegovina,1,26,1B,1,,Canadá,7,3,2,1,0,7,3,4,1,Canadá,,,Canadá,,,,C,Brasil,6,3,2,0,1,6,3,3,2C,2C,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1C,Marruecos
Catar,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,19/6/2026,0:00,J2,Canadá,,2,0,,Catar,1,27,2B,2,,Bosnia y Herzegovina,6,3,2,0,1,5,4,1,1,Bosnia y Herzegovina,,,Bosnia y Herzegovina,,,,C,Marruecos,7,3,2,1,0,6,3,3,1C,1C,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,2,12,1,2.1,2,,2C,Brasil
Suiza,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,24/6/2026,21:00,J3,Suiza,,2,2,,Canadá,1,51,3B,3,,Suiza,4,3,1,1,1,4,4,0,1,Suiza,,,Catar,,,,C,Haití,0,3,0,0,3,1,8,-7,4C,4C,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3C,Escocia
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,24/6/2026,21:00,J3,Bosnia y Herzegovina,,3,1,,Catar,1,52,4B,4,,Catar,0,3,0,0,3,2,7,-5,1,Catar,,,Suiza,,,,C,Escocia,4,3,1,1,1,4,3,1,3C,3C,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4C,Haití
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,Estados Unidos,5,3,1,2,0,4,3,1,2D,2D,0,1,P.1 (4),5,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1D,Turquía
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,D,Paraguay,2,3,0,2,1,2,4,-2,4D,4D,0,1,P.1 (4),2,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-2,3,P.3 (2),2,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2D,Estados Unidos
NombreEquipo,C,4,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,C,14/6/2026,0:00,J1,Brasil,,1,2,,Marruecos,1,7,,Grupo C,,,,,,,,,,,,,,,,,,,D,Australia,2,3,0,2,1,3,5,-2,3D,3D,0,1,P.1 (4),2,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-2,3,P.3 (2),3,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3D,Australia
Brasil,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,14/6/2026,3:00,J1,Haití,,0,2,,Escocia,1,5,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,D,Turquía,6,3,2,0,1,6,3,3,1D,1D,0,1,P.1 (4),6,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,4,12,1,4.1,4,,4D,Paraguay
Marruecos,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,0:00,J2,Escocia,,1,1,,Marruecos,1,30,1C,1,,Marruecos,7,3,2,1,0,6,3,3,1,Marruecos,,,Brasil,,,,E,Alemania,6,3,2,0,1,5,2,3,3E,3E,0,1,P.1 (4),6,1,P.1 (3),1,0,1,3,1,P.1 (3),2,2,0,1,P.1 (3),2,2,P.2 (2),0,0,1,0,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,1,12,1,1.1,1,,1E,Costa de Marfil
Haití,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,2:30,J2,Brasil,,3,0,,Haití,1,29,2C,2,,Brasil,6,3,2,0,1,6,3,3,1,Brasil,,,Marruecos,,,,E,Curazao,0,3,0,0,3,0,8,-8,4E,4E,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2E,Ecuador
Escocia,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,0:00,J3,Escocia,,1,2,,Brasil,1,49,3C,3,,Escocia,4,3,1,1,1,4,3,1,1,Escocia,,,Haití,,,,E,Costa de Marfil,6,3,2,0,1,5,3,2,1E,1E,0,1,P.1 (4),6,1,P.1 (3),1,0,1,3,1,P.1 (3),3,3,0,1,P.1 (3),3,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,3,12,1,3.1,3,,3E,Alemania
,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,25/6/2026,0:00,J3,Marruecos,,3,1,,Haití,1,50,4C,4,,Haití,0,3,0,0,3,1,8,-7,1,Haití,,,Escocia,,,,E,Ecuador,6,3,2,0,1,5,2,3,2E,2E,0,1,P.1 (4),6,1,P.1 (3),1,0,1,3,1,P.1 (3),2,2,0,1,P.1 (3),2,2,P.2 (2),1,0,0,3,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4E,Curazao
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Países Bajos,5,3,1,2,0,6,3,3,2F,2F,0,1,P.1 (4),5,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1F,Suecia
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,F,Japón,4,3,1,1,1,3,2,1,3F,3F,0,1,P.1 (4),4,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2F,Países Bajos
NombreEquipo,D,4,Empate,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,D,13/6/2026,3:00,J1,Estados Unidos,,1,1,,Paraguay,1,4,,Grupo D,,,,,,,,,,,,,,,,,,,F,Suecia,7,3,2,1,0,4,2,2,1F,1F,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,3,12,1,3.1,3,,3F,Japón
Estados Unidos,,,Visitante,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,P.3 (2),-,,,14/6/2026,6:00,J1,Australia,,1,3,,Turquía,1,6,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,F,Túnez,0,3,0,0,3,0,6,-6,4F,4F,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4F,Túnez
Paraguay,,,Empate,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,,19/6/2026,21:00,J2,Estados Unidos,,1,1,,Australia,1,32,1D,1,,Turquía,6,3,2,0,1,6,3,3,1,Turquía,,,Estados Unidos,,,,G,Bélgica,7,3,2,1,0,7,4,3,1G,1G,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1G,Bélgica
Australia,,,Local,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,-,P.3 (2),,,20/6/2026,5:00,J2,Turquía,,2,0,,Paraguay,1,31,2D,2,,Estados Unidos,5,3,1,2,0,4,3,1,1,Estados Unidos,,,Paraguay,,,,G,Egipto,6,3,2,0,1,5,3,2,2G,2G,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2G,Egipto
Turquía,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,26/6/2026,4:00,J3,Turquía,,1,2,,Estados Unidos,1,59,3D,3,,Australia,2,3,0,2,1,3,5,-2,1,Australia,,,Australia,,,,G,Irán,3,3,1,0,2,2,4,-2,3G,3G,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3G,Irán
,,,Empate,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,P.3 (2),P.3 (2),,,26/6/2026,4:00,J3,Paraguay,,1,1,,Australia,1,60,4D,4,,Paraguay,2,3,0,2,1,2,4,-2,1,Paraguay,,,Turquía,,,,G,Nueva Zelanda,1,3,0,1,2,1,4,-3,4G,4G,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4G,Nueva Zelanda
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,España,9,3,3,0,0,10,0,10,1H,1H,0,1,P.1 (4),9,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1H,España
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,H,Cabo Verde,0,3,0,0,3,3,10,-7,4H,4H,0,1,P.1 (4),0,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,2,12,1,2.1,2,,2H,Uruguay
NombreEquipo,E,4,Local,P.1 (3),-,,P.1 (3),-,,P.1 (3),-,,P.2 (2),-,,-,-,,-,-,,E,14/6/2026,19:00,J1,Alemania,,3,0,,Curazao,1,10,,Grupo E,,,,,,,,,,,,,,,,,,,H,Arabia Saudita,3,3,1,0,2,3,7,-4,3H,3H,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3H,Arabia Saudita
Alemania,,,Local,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,-,P.2 (2),,-,-,,-,-,,,15/6/2026,1:00,J1,Costa de Marfil,,2,1,,Ecuador,1,9,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,H,Uruguay,6,3,2,0,1,4,3,1,2H,2H,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4H,Cabo Verde
Curazao,,,Local,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,P.2 (2),-,,-,-,,-,-,,,20/6/2026,22:00,J2,Alemania,,2,1,,Costa de Marfil,1,33,1E,1,,Costa de Marfil,6,3,2,0,1,5,3,2,1,Costa de Marfil,,,Alemania,,,,I,Francia,6,3,2,0,1,5,2,3,2I,2I,0,1,P.1 (4),6,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,1,12,1,1.1,1,,1I,Senegal
Costa de Marfil,,,Local,P.1 (3),-,,P.1 (3),-,,P.1 (3),-,,P.2 (2),-,,-,-,,-,-,,,21/6/2026,2:00,J2,Ecuador,,3,0,,Curazao,1,34,2E,2,,Ecuador,6,3,2,0,1,5,2,3,1,Ecuador,,,Curazao,,,,I,Senegal,7,3,2,1,0,3,1,2,1I,1I,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,2,12,1,2.1,2,,2I,Francia
Ecuador,,,Visitante,-,P.1 (3),,-,P.1 (3),,-,P.1 (3),,-,-,,-,-,,-,-,,,25/6/2026,22:00,J3,Curazao,,0,2,,Costa de Marfil,1,55,3E,3,,Alemania,6,3,2,0,1,5,2,3,1,Alemania,,,Costa de Marfil,,,,I,Irak,1,3,0,1,2,1,5,-4,4I,4I,0,1,P.1 (4),1,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3I,Noruega
,,,Local,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,P.1 (3),P.1 (3),,P.2 (2),P.2 (2),,-,-,,-,-,,,25/6/2026,22:00,J3,Ecuador,,1,0,,Alemania,1,56,4E,4,,Curazao,0,3,0,0,3,0,8,-8,1,Curazao,,,Ecuador,,,,I,Noruega,2,3,0,2,1,1,2,-1,3I,3I,0,1,P.1 (4),2,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,4,12,1,4.1,4,,4I,Irak
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,Argentina,5,3,1,2,0,2,1,1,1J,1J,0,1,P.1 (4),5,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1J,Argentina
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,J,Argelia,4,3,1,1,1,3,2,1,2J,2J,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2J,Argelia
NombreEquipo,F,4,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,F,14/6/2026,22:00,J1,Países Bajos,,1,1,,Japón,1,11,,Grupo F,,,,,,,,,,,,,,,,,,,J,Austria,3,3,0,3,0,3,3,0,3J,3J,0,1,P.1 (4),3,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,-,-,-,3,-,-,-,-,3,-,-,3,-,-,3,-,-,3,-,-,3,,3,-,3,,3,12,1,3.1,3,,3J,Austria
Países Bajos,,,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,15/6/2026,4:00,J1,Suecia,,1,0,,Túnez,1,12,,Pos,,Selección,Pts,J,G,E,P,GF,GC,DG,0,,,,Selección,Puntos penalizados,,,J,Jordania,2,3,0,2,1,1,3,-2,4J,4J,0,1,P.1 (4),2,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,-,-,-,4,-,-,-,-,4,-,-,4,-,-,4,-,-,4,-,-,4,,4,-,4,,4,12,1,4.1,4,,4J,Jordania
Japón,,,Empate,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,20/6/2026,19:00,J2,Países Bajos,,2,2,,Suecia,1,35,1F,1,,Suecia,7,3,2,1,0,4,2,2,1,Suecia,,,Países Bajos,,,,K,Portugal,7,3,2,1,0,10,2,8,1K,1K,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),8,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1K,Portugal
Suecia,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,21/6/2026,6:00,J2,Túnez,,0,2,,Japón,1,36,2F,2,,Países Bajos,5,3,1,2,0,6,3,3,1,Países Bajos,,,Japón,,,,K,RD Congo,1,3,0,1,2,2,8,-6,3K,3K,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-6,3,-,-,3,-,-,3,,3,-,3,,2,12,1,2.1,2,,2K,Colombia
Túnez,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,26/6/2026,1:00,J3,Japón,,0,1,,Suecia,1,57,3F,3,,Japón,4,3,1,1,1,3,2,1,1,Japón,,,Suecia,,,,K,Uzbekistán,1,3,0,1,2,1,8,-7,4K,4K,0,1,P.1 (4),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),0,1,0,1,3,P.3 (2),1,1,0,3,P.3 (2),1,3,P.3 (2),-7,4,-,-,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3K,RD Congo
,,,Visitante,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,,26/6/2026,1:00,J3,Túnez,,0,3,,Países Bajos,1,58,4F,4,,Túnez,0,3,0,0,3,0,6,-6,1,Túnez,,,Túnez,,,,K,Colombia,7,3,2,1,0,6,1,5,2K,2K,0,1,P.1 (4),7,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),0,1,0,1,1,P.1 (2),1,1,0,1,P.1 (2),1,1,P.1 (2),5,2,-,-,2,-,-,2,,2,-,2,,4,12,1,4.1,4,,4K,Uzbekistán
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,Inglaterra,7,3,2,1,0,5,3,2,1L,1L,0,1,P.1 (4),7,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,1,-,-,1,-,-,1,,1,-,1,,1,12,1,1.1,1,,1L,Inglaterra
,,,,,,,,,,,,,,,,,,,,,,,Fecha,Hora,Jor.,Casa,,Gol,Gol,,Fuera,,,,,,,,,,,,,,,,,,,,,,,L,Croacia,4,3,1,1,1,3,3,0,2L,2L,0,1,P.1 (4),4,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,-,-,-,2,-,-,-,-,2,-,-,2,-,-,2,-,-,2,-,-,2,,2,-,2,,2,12,1,2.1,2,,2L,Croacia
NombreEquipo,G,4,Local,-,-,,-,-,,-,-,,-,-,,-,-,,-,-,,G,15/6/2026,21:00,J1,Bélgica,,3,2,,Egipto,1,16,,Grupo G,,,,,,,,,,,,,,,,,,,L,Ghana,2,3,0,2,1,1,2,-1,4L,4L,0,1,P.1 (4),2,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),0,1,0,1,3,P.3 (2),0,0,0,3,P.3 (2),0,3,P.3 (2),-1,3,P.3 (2),1,4,-,-,4,,4,-,4,,3,12,1,3.1,3,,3L,Panamá
